student_id,age,gender,major,academic_level,semester,previous_gpa,cumulative_gpa,failed_courses,completed_credits,withdrawn_courses,attendance_rate,absence_count,late_count,midterm_average,quiz_average,assignment_average,project_average,completed_assignments,late_assignments,lms_login_count,lms_active_days,learning_time_hours,gpa_trend,performance_trend,final_gpa,at_risk
10001,18,F,Industrial Engineering,Bachelor,1,15.54,15.54,0,17,0,84.08,5,4,14.73,12.45,15.2,14.93,8,2,28,21,33.4,-0.1,-0.122,16.14,0
10001,18,F,Industrial Engineering,Bachelor,2,16.14,15.84,0,32,0,89.56,4,3,13.32,11.81,13.39,13.76,7,1,16,16,16.4,0.57,-0.295,12.01,0
10001,19,F,Industrial Engineering,Bachelor,3,12.01,14.56,0,56,1,76.49,8,1,11.12,13.84,8.29,11.05,9,1,28,22,29.71,-2.87,-0.065,14.98,0
10001,19,F,Industrial Engineering,Bachelor,4,14.98,14.67,0,76,2,98.55,0,1,12.73,12.74,14.01,14.01,6,1,33,21,30.18,0.17,-0.199,13.14,0
10002,18,F,Industrial Engineering,Bachelor,1,12.19,12.19,0,16,0,83.97,1,4,6.73,5.0,7.99,8.01,9,3,12,12,9.5,-0.51,-0.528,11.27,1
10002,18,F,Industrial Engineering,Bachelor,2,11.27,11.73,2,32,0,51.91,14,3,5.0,5.0,7.18,5.47,5,4,13,12,9.73,-0.8,-0.54,11.97,1
10002,19,F,Industrial Engineering,Bachelor,3,11.97,11.81,3,48,0,60.63,12,4,5.0,5.0,5.0,7.16,8,4,11,11,8.79,0.06,-0.646,11.36,1
10002,19,F,Industrial Engineering,Bachelor,4,11.36,11.7,1,71,1,75.41,8,3,6.83,5.0,6.38,7.3,6,1,20,18,26.54,-0.53,-0.528,12.79,0
10003,23,M,Industrial Engineering,Bachelor,1,13.96,13.96,1,16,1,94.41,2,3,11.14,7.06,10.31,10.21,10,2,24,19,10.23,0.72,-0.426,10.76,1
10003,23,M,Industrial Engineering,Bachelor,2,10.76,12.36,1,29,1,72.5,9,4,9.6,6.51,9.55,8.32,5,2,21,15,26.15,-1.25,-0.228,11.35,1
10003,24,M,Industrial Engineering,Bachelor,3,11.35,12.02,1,56,0,84.4,5,2,11.32,10.64,9.25,10.17,7,2,20,15,28.63,-1.14,-0.114,12.48,0
10003,24,M,Industrial Engineering,Bachelor,4,12.48,12.14,1,68,0,80.53,4,3,9.27,9.01,9.82,10.12,4,2,19,20,31.33,0.34,-0.34,13.34,0
10004,24,F,Management,Bachelor,1,16.88,16.88,3,9,1,76.87,4,3,11.11,8.25,12.42,12.83,7,4,17,14,13.78,0.35,-0.572,13.0,0
10004,24,F,Management,Bachelor,2,13.0,14.94,0,36,0,94.33,0,1,13.95,13.43,10.41,11.92,9,0,36,27,32.03,-1.93,-0.108,14.84,0
10004,25,F,Management,Bachelor,3,14.84,14.91,0,51,0,97.17,0,2,12.54,12.88,13.03,13.11,10,0,26,21,28.88,0.23,-0.185,14.74,0
10004,25,F,Management,Bachelor,4,14.74,14.87,0,71,0,88.72,3,0,14.06,10.58,15.14,13.92,10,1,36,25,37.32,0.14,-0.128,13.65,0
10005,24,M,Accounting,Bachelor,1,15.97,15.97,2,13,1,80.74,5,3,10.49,8.43,12.93,13.88,5,3,24,19,25.94,-0.46,-0.525,14.24,0
10005,24,M,Accounting,Bachelor,2,14.24,15.1,0,38,0,99.26,2,1,10.94,11.49,12.44,12.05,4,2,28,24,34.82,-0.54,-0.313,12.67,0
10005,25,M,Accounting,Bachelor,3,12.67,14.29,0,54,0,85.75,3,2,8.42,7.59,11.85,10.76,10,2,18,12,35.65,-1.67,-0.342,13.73,0
10005,25,M,Accounting,Bachelor,4,13.73,14.15,1,65,2,87.24,2,3,9.1,7.62,10.09,10.0,6,3,23,20,20.17,-1.08,-0.503,13.55,0
10006,21,M,Information Technology,Bachelor,1,12.79,12.79,2,15,0,89.59,1,2,9.08,5.0,9.99,11.83,4,2,24,15,31.94,-0.02,-0.412,13.75,0
10006,21,M,Information Technology,Bachelor,2,13.75,13.27,2,38,1,74.29,7,4,7.8,7.23,9.55,9.69,4,1,3,7,11.52,0.0,-0.499,11.42,1
10006,22,M,Information Technology,Bachelor,3,11.42,12.65,0,50,1,88.88,4,3,7.99,5.39,8.62,8.12,8,2,22,19,29.87,-0.97,-0.34,13.92,0
10006,22,M,Information Technology,Bachelor,4,13.92,12.97,1,69,0,74.52,7,5,6.59,5.0,11.1,10.97,9,5,13,11,11.38,1.0,-0.671,11.48,1
10007,24,M,Industrial Engineering,Bachelor,1,14.22,14.22,1,11,0,85.71,7,5,7.65,5.05,10.86,10.5,7,2,29,17,21.82,0.41,-0.646,13.59,0
10007,24,M,Industrial Engineering,Bachelor,2,13.59,13.9,1,28,0,80.7,7,2,8.78,5.1,9.52,12.39,9,2,15,13,7.75,-0.67,-0.438,14.28,0
10007,25,M,Industrial Engineering,Bachelor,3,14.28,14.03,0,54,0,66.44,10,3,11.61,10.24,10.26,13.23,10,1,19,16,30.95,0.37,-0.29,13.59,0
10007,25,M,Industrial Engineering,Bachelor,4,13.59,13.92,1,69,0,90.65,3,2,11.89,11.38,11.44,11.59,5,3,26,20,25.72,-0.22,-0.194,13.8,0
10008,23,M,Management,Bachelor,1,14.58,14.58,1,17,0,80.44,7,3,8.15,7.16,10.91,13.97,10,3,22,17,17.34,-0.61,-0.551,10.26,1
10008,23,M,Management,Bachelor,2,10.26,12.42,0,34,0,79.66,5,5,8.07,5.37,8.23,8.65,8,1,21,14,15.58,-2.54,-0.263,9.94,1
10008,24,M,Management,Bachelor,3,9.94,11.59,0,59,1,92.97,4,6,8.44,6.67,9.53,8.58,4,1,21,19,21.32,-1.51,-0.166,12.02,0
